headline,url,time,summary,tags,date
我们不惹事，也不怕事,https://news.sina.com.cn/c/2025-04-10/doc-inesqvpn6468313.shtml,2025-04-10 00:02:00,来源：央视网 美国对全球滥施关税的“余震”还在继续，全球经济遭遇“黑色星期一”。 4月7日至8日，数十家上市企业发布增持相关公告，坚定看好中国资本市场发展前景。,"['[\'[""[\\\'关税\\\'""\'', ' \' "" \\\'中国制造的世界\\\'""\'', ' \' "" \\\'美国\\\']""]\']']",2025-04-10
海关总署：4月10日12时01分起，执行对原产于美国的进口商品加征84%关税,https://news.sina.com.cn/c/2025-04-09/doc-inesqvpi2612663.shtml,2025-04-09 23:10:00,海关总署4月9日发文称，根据《国务院关税税则委员会关于对原产于美国的进口商品加征关税的公告》（税委会公告2025年第4号）、《国务院关税税则委员会关于调整对原产,"['[""[\'[]\']""]']",2025-04-09
北京市气象台发布重要天气提示信息,https://news.sina.com.cn/c/2025-04-09/doc-inesqvpn3803181.shtml,2025-04-09 22:49:00,受冷涡加强东移南下影响，11日下午至13日我市将出现一次极端大风、强降温天气过程。10日白天冷涡将在蒙古国生成，沿西北-东南方向于11日夜间移至北京，随后加强并,"['[""[\'[]\']""]']",2025-04-09
极端大风➕强降温！明天上午北京将提前发布大风橙色预警信号,https://news.sina.com.cn/c/2025-04-09/doc-inesqvpn3789639.shtml,2025-04-09 22:42:00,北京市气象台9日夜间介绍，受冷涡加强东移南下影响，11日下午至13日本市将出现一次极端大风、强降温天气过程。北京市气象台首席预报员雷蕾介绍，10日白天冷涡将在蒙,"['[""[\'[]\']""]']",2025-04-09
教育部发布2025年第1号留学预警,https://news.sina.com.cn/c/2025-04-09/doc-inesqvpn6440894.shtml,2025-04-09 22:21:00,近日，美国俄亥俄州通过有关高等教育法案，其中包含涉华消极条款，对中美高校教育交流合作施加限制。教育部提醒广大留学人员，近期选择赴美有关州学习时做好安全风险评估，,"['[""[\'[]\']""]']",2025-04-09
12部门印发《促进健康消费专项行动方案》,https://news.sina.com.cn/c/2025-04-09/doc-inesqvpn3779960.shtml,2025-04-09 22:08:00,商务部网站4月9日消息，商务部、国家卫生健康委等12部门印发《促进健康消费专项行动方案》。促进健康消费专项行动方案为贯彻落实党中央、国务院关于大力发展健康消费的,"['[""[\'[]\']""]']",2025-04-09
这7人，成总理座谈会“座上宾”,https://news.sina.com.cn/c/2025-04-09/doc-inesqrfq6568469.shtml,2025-04-09 22:05:00,澎湃新闻记者 岳怀让 新华社消息，中共中央政治局常委、国务院总理李强4月9日下午主持召开经济形势专家和企业家座谈会，听取对当前经济形势和下一步经济工作的意见建议。,"['[\'[""[\\\'机器人\\\'""\'', ' \' "" \\\'企业家\\\'""\'', ' \' "" \\\'张斌\\\']""]\']']",2025-04-09
文化和旅游部对赴美中国游客发布风险提示,https://news.sina.com.cn/c/2025-04-09/doc-inesqrfi5945891.shtml,2025-04-09 21:57:00,新京报讯 据文旅部消息，近期，由于中美经贸关系恶化以及美国内安全形势，文化和旅游部提示中国游客充分评估赴美旅游风险，谨慎前往。,"['[\'[""[\\\'文化和旅游部\\\']""]\']']",2025-04-09
损人害己！美国经济增长预期被下调,https://news.sina.com.cn/c/2025-04-09/doc-inesqrfi5940137.shtml,2025-04-09 21:43:00,强硬反制！国务院关税税则委员会9日宣布，自2025年4月10日12时01分起，对原产于美国的所有进口商品再加征50%关税，由34%提高至84%。2025年4,"['[""[\'[]\']""]']",2025-04-09
3天800亿！A股回购增持力度持续加强,https://news.sina.com.cn/c/2025-04-09/doc-inesqrfi5929593.shtml,2025-04-09 21:22:00,财联社4月9日电，据财联社记者初步统计，截至目前的三个交易日内，111家上市公司抛出回购预案或发布股东提议回购公告，拟回购金额上限416.7亿元；67家上市公司,"['[""[\'[]\']""]']",2025-04-09
学习新语｜集中精力办好自己的事,https://news.sina.com.cn/c/xl/2025-04-09/doc-inesqrfq6537840.shtml,2025-04-09 20:47:00,策划/制作：李丽洋、陈舒、胡碧霞新华社出品,"['[""[\'[]\']""]']",2025-04-09
心相近|习近平主席的小客人来华圆梦,https://news.sina.com.cn/c/xl/2025-04-09/doc-inesqrfq6537632.shtml,2025-04-09 20:47:00,新华社北京4月9日电 心相近|习近平主席的小客人来华圆梦 新华社记者王雅晨 温新年 宋瑞 春和景明，山花烂漫，蜿蜒的居庸关长城随着山峦的曲线起起伏伏。,"['[""[\'[]\']""]']",2025-04-09
中央周边工作会议在北京举行 习近平发表重要讲话,https://news.sina.com.cn/c/xl/2025-04-09/doc-inesqrfq3877054.shtml,2025-04-09 20:43:00,中央周边工作会议在北京举行 习近平发表重要讲话 李强主持 赵乐际王沪宁蔡奇丁薛祥李希韩正出席会议 4月8日至9日，中央周边工作会议在北京举行。,"['[""[\'[]\']""]']",2025-04-09
河北隆化养老院火灾致20人死亡，居民：都是火苗黑烟,https://news.sina.com.cn/c/2025-04-09/doc-inesqrfi5917287.shtml,2025-04-09 20:28:00,界面新闻记者|蔡星卓界面新闻编辑|刘海川据央视新闻2025年4月9日上午11时消息，2025年4月8日21时48分，河北隆化县一老年公寓发生火情。消防、应急、公,"['[""[\'[]\']""]']",2025-04-09
五部门联手！事关校园食品安全和膳食经费管理,https://news.sina.com.cn/c/2025-04-09/doc-inesqrfq6528210.shtml,2025-04-09 20:10:00,来源：央视网央视网消息：据“市说新语”公众号消息，近日，市场监管总局、教育部、公安部、财政部、国家卫生健康委联合印发《关于常态化开展春...,"['[""[\'[]\']""]']",2025-04-09
拉清单！中方制裁美国实体,https://news.sina.com.cn/c/2025-04-09/doc-inesqrfq6505098.shtml,2025-04-09 19:43:00,据商务部网站4月9日消息，中方将护盾人工智能公司等6家美国企业列入不可靠实体清单，将12家美国实体列入出口管制管控名单。不可靠实体清单工作机制公 告2025年...,"['[\'[""[\\\'商务部\\\'""\'', ' \' "" \\\'中国\\\'""\'', ' \' "" \\\'美国\\\']""]\']']",2025-04-09
李强：根据形势需要及时推出新的增量政策 以有力有效的政策应对外部环境的不确定性,https://news.sina.com.cn/c/xl/2025-04-09/doc-inesqkxs3972936.shtml,2025-04-09 19:40:00,财联社4月9日电，中共中央政治局常委、国务院总理李强4月9日下午主持召开经济形势专家和企业家座谈会，听取对当前经济形势和下一步经济工作的意见建议。座谈会上，张斌,"['[""[\'[]\']""]']",2025-04-09
甘肃甘南州迭部县发生3.0级地震，震源深度9千米,https://news.sina.com.cn/c/2025-04-09/doc-inesqrfq3847093.shtml,2025-04-09 19:36:00,来源：央视网央视网消息：中国地震台网正式测定：04月09日19时29分在甘肃甘南州迭部县（北纬34.01度，东经103.72度）发生3.0级地震，震源深度9千米。,"['[""[\'[]\']""]']",2025-04-09
对美加征84%关税！中方坚决反制再出“组合拳”,https://news.sina.com.cn/c/2025-04-09/doc-inesqkxs3971776.shtml,2025-04-09 19:36:00,美国东部时间4月8日，美方将此前宣布的对中国输美产品加征34%所谓“对等关税”，进一步提高50%至84%。中方对原产于美国的所有进口商品再加征50%关税国务院关,"['[""[\'[]\']""]']",2025-04-09
甘肃甘南州迭部县附近发生3.0级左右地震,https://news.sina.com.cn/c/2025-04-09/doc-inesqkxm6014676.shtml,2025-04-09 19:32:00,中国地震台网自动测定：04月09日19时29分在甘肃甘南州迭部县附近（北纬34.05度，东经103.69度）发生3.0级左右地震，最终结果以正式速报为准。,"['[""[\'[]\']""]']",2025-04-09
北京市国资委：国有股东按市场化原则适时增持股票 具备条件的上市公司有计划实施股票回购,https://news.sina.com.cn/c/2025-04-09/doc-inesqkxs3969937.shtml,2025-04-09 19:29:00,财联社4月9日电，近日，北京市国资委召开市管企业控股上市公司座谈会，坚定维护资本市场稳定，全力推动上市公司高质量发展。会议指出，各企业要加强上市资源的评估、筛选,"['[""[\'[]\']""]']",2025-04-09
中国海警局新闻发言人就菲向非法“坐滩”仁爱礁军舰运补发表谈话,https://news.sina.com.cn/c/2025-04-09/doc-inesqkxp2783391.shtml,2025-04-09 19:13:00,财联社4月9日电，中国海警局新闻发言人刘德军表示，4月9日，经中方允许，菲律宾派1艘民船对其非法“坐滩”仁爱礁军舰运送生活物资，中国海警对菲船只询问确认并全程监,"['[""[\'[]\']""]']",2025-04-09
中国海警局新闻发言人就菲向非法“坐滩”仁爱礁军舰运补发表谈话,https://news.sina.com.cn/c/2025-04-09/doc-inesqrfq3847367.shtml,2025-04-09 19:12:00,来源：央视网央视网消息：中国海警局新闻发言人刘德军表示，4月9日，经中方允许，菲律宾派1艘民船对其非法“坐滩”仁爱礁军舰运送生活物资...,"['[""[\'[]\']""]']",2025-04-09
商务部新闻发言人就将12家美国实体列入出口管制管控名单答记者问,https://news.sina.com.cn/c/2025-04-09/doc-inesqkxp2782613.shtml,2025-04-09 19:11:00,财联社4月9日电，商务部新闻发言人就将12家美国实体列入出口管制管控名单答记者问。问：2025年4月9日，商务部宣布将12家美国实体列入出口管制管控名单，请问有,"['[""[\'[]\']""]']",2025-04-09
中国制裁6家涉台军售美国企业 商务部回应,https://news.sina.com.cn/c/2025-04-09/doc-inesqkxp2782333.shtml,2025-04-09 19:09:00,财联社4月9日电，商务部表示，近年来，护盾人工智能公司、内华达山脉公司等6家公司不顾中方强烈反对，或参与对台军售，或与台开展所谓军事技术合作，严重损害中国国家主,"['[""[\'[]\']""]']",2025-04-09
